Date,SKU,Category,Sales,Unit_Price,Cost_Price,Selling_Price,Discount_Pct,Is_Promotion,Is_Holiday,Current_Stock,Lead_Time_Days
2023-01-01,NK-PEGASUS-BLK,Running,294,7999,3800,6799.15,15,1,1,220,14
2023-02-01,NK-PEGASUS-BLK,Running,224,7999,3800,7999.0,0,0,0,220,14
2023-03-01,NK-PEGASUS-BLK,Running,235,7999,3800,7999.0,0,0,0,220,14
2023-04-01,NK-PEGASUS-BLK,Running,203,7999,3800,7999.0,0,0,0,220,14
2023-05-01,NK-PEGASUS-BLK,Running,181,7999,3800,7999.0,0,0,0,220,14
2023-06-01,NK-PEGASUS-BLK,Running,182,7999,3800,7999.0,0,0,0,220,14
2023-07-01,NK-PEGASUS-BLK,Running,245,7999,3800,6799.15,15,1,0,220,14
2023-08-01,NK-PEGASUS-BLK,Running,227,7999,3800,7999.0,0,0,1,220,14
2023-09-01,NK-PEGASUS-BLK,Running,182,7999,3800,7999.0,0,0,0,220,14
2023-10-01,NK-PEGASUS-BLK,Running,251,7999,3800,7999.0,0,0,1,220,14
2023-11-01,NK-PEGASUS-BLK,Running,239,7999,3800,7999.0,0,0,1,220,14
2023-12-01,NK-PEGASUS-BLK,Running,210,7999,3800,7999.0,0,0,1,220,14
2024-01-01,NK-PEGASUS-BLK,Running,303,7999,3800,6799.15,15,1,1,220,14
2024-02-01,NK-PEGASUS-BLK,Running,213,7999,3800,7999.0,0,0,0,220,14
2024-03-01,NK-PEGASUS-BLK,Running,217,7999,3800,7999.0,0,0,0,220,14
2024-04-01,NK-PEGASUS-BLK,Running,188,7999,3800,7999.0,0,0,0,220,14
2024-05-01,NK-PEGASUS-BLK,Running,183,7999,3800,7999.0,0,0,0,220,14
2024-06-01,NK-PEGASUS-BLK,Running,201,7999,3800,7999.0,0,0,0,220,14
2024-07-01,NK-PEGASUS-BLK,Running,224,7999,3800,6799.15,15,1,0,220,14
2024-08-01,NK-PEGASUS-BLK,Running,211,7999,3800,7999.0,0,0,1,220,14
2024-09-01,NK-PEGASUS-BLK,Running,219,7999,3800,7999.0,0,0,0,220,14
2024-10-01,NK-PEGASUS-BLK,Running,253,7999,3800,7999.0,0,0,1,220,14
2024-11-01,NK-PEGASUS-BLK,Running,258,7999,3800,7999.0,0,0,1,220,14
2024-12-01,NK-PEGASUS-BLK,Running,209,7999,3800,7999.0,0,0,1,220,14
2025-01-01,NK-PEGASUS-BLK,Running,305,7999,3800,6799.15,15,1,1,220,14
2025-02-01,NK-PEGASUS-BLK,Running,251,7999,3800,7999.0,0,0,0,220,14
2025-03-01,NK-PEGASUS-BLK,Running,236,7999,3800,7999.0,0,0,0,220,14
2025-04-01,NK-PEGASUS-BLK,Running,212,7999,3800,7999.0,0,0,0,220,14
2025-05-01,NK-PEGASUS-BLK,Running,200,7999,3800,7999.0,0,0,0,220,14
2025-06-01,NK-PEGASUS-BLK,Running,205,7999,3800,7999.0,0,0,0,220,14
2025-07-01,NK-PEGASUS-BLK,Running,240,7999,3800,6799.15,15,1,0,220,14
2025-08-01,NK-PEGASUS-BLK,Running,265,7999,3800,7999.0,0,0,1,220,14
2025-09-01,NK-PEGASUS-BLK,Running,212,7999,3800,7999.0,0,0,0,220,14
2025-10-01,NK-PEGASUS-BLK,Running,254,7999,3800,7999.0,0,0,1,220,14
2025-11-01,NK-PEGASUS-BLK,Running,280,7999,3800,7999.0,0,0,1,220,14
2025-12-01,NK-PEGASUS-BLK,Running,224,7999,3800,7999.0,0,0,1,220,14
2026-01-01,NK-PEGASUS-BLK,Running,327,7999,3800,6799.15,15,1,1,220,14
2026-02-01,NK-PEGASUS-BLK,Running,237,7999,3800,7999.0,0,0,0,220,14
2026-03-01,NK-PEGASUS-BLK,Running,246,7999,3800,7999.0,0,0,0,220,14
2026-04-01,NK-PEGASUS-BLK,Running,222,7999,3800,7999.0,0,0,0,220,14
2026-05-01,NK-PEGASUS-BLK,Running,230,7999,3800,7999.0,0,0,0,220,14
2023-01-01,AD-ULTRABOOST-WHT,Running,254,8999,4200,8099.1,10,1,1,185,14
2023-02-01,AD-ULTRABOOST-WHT,Running,204,8999,4200,8999.0,0,0,0,185,14
2023-03-01,AD-ULTRABOOST-WHT,Running,203,8999,4200,8999.0,0,0,0,185,14
2023-04-01,AD-ULTRABOOST-WHT,Running,144,8999,4200,8999.0,0,0,0,185,14
2023-05-01,AD-ULTRABOOST-WHT,Running,155,8999,4200,8999.0,0,0,0,185,14
2023-06-01,AD-ULTRABOOST-WHT,Running,159,8999,4200,8999.0,0,0,0,185,14
2023-07-01,AD-ULTRABOOST-WHT,Running,180,8999,4200,8999.0,0,0,0,185,14
2023-08-01,AD-ULTRABOOST-WHT,Running,201,8999,4200,8999.0,0,0,1,185,14
2023-09-01,AD-ULTRABOOST-WHT,Running,145,8999,4200,8999.0,0,0,0,185,14
2023-10-01,AD-ULTRABOOST-WHT,Running,228,8999,4200,8999.0,0,0,1,185,14
2023-11-01,AD-ULTRABOOST-WHT,Running,220,8999,4200,8999.0,0,0,1,185,14
2023-12-01,AD-ULTRABOOST-WHT,Running,187,8999,4200,8999.0,0,0,1,185,14
2024-01-01,AD-ULTRABOOST-WHT,Running,272,8999,4200,8099.1,10,1,1,185,14
2024-02-01,AD-ULTRABOOST-WHT,Running,231,8999,4200,8999.0,0,0,0,185,14
2024-03-01,AD-ULTRABOOST-WHT,Running,231,8999,4200,8999.0,0,0,0,185,14
2024-04-01,AD-ULTRABOOST-WHT,Running,164,8999,4200,8999.0,0,0,0,185,14
2024-05-01,AD-ULTRABOOST-WHT,Running,172,8999,4200,8999.0,0,0,0,185,14
2024-06-01,AD-ULTRABOOST-WHT,Running,181,8999,4200,8999.0,0,0,0,185,14
2024-07-01,AD-ULTRABOOST-WHT,Running,191,8999,4200,8999.0,0,0,0,185,14
2024-08-01,AD-ULTRABOOST-WHT,Running,203,8999,4200,8999.0,0,0,1,185,14
2024-09-01,AD-ULTRABOOST-WHT,Running,178,8999,4200,8999.0,0,0,0,185,14
2024-10-01,AD-ULTRABOOST-WHT,Running,222,8999,4200,8999.0,0,0,1,185,14
2024-11-01,AD-ULTRABOOST-WHT,Running,221,8999,4200,8999.0,0,0,1,185,14
2024-12-01,AD-ULTRABOOST-WHT,Running,219,8999,4200,8999.0,0,0,1,185,14
2025-01-01,AD-ULTRABOOST-WHT,Running,294,8999,4200,8099.1,10,1,1,185,14
2025-02-01,AD-ULTRABOOST-WHT,Running,229,8999,4200,8999.0,0,0,0,185,14
