Date,SKU,Category,Sales,Unit_Price,Cost_Price,Selling_Price,Discount_Pct,Is_Promotion,Is_Holiday,Current_Stock,Lead_Time_Days
2023-01-01,RLX-SUBMARINER-BLK,Luxury Dive,102,850000,480000,850000.0,0,0,0,18,60
2023-02-01,RLX-SUBMARINER-BLK,Luxury Dive,95,850000,480000,850000.0,0,0,1,18,60
2023-03-01,RLX-SUBMARINER-BLK,Luxury Dive,50,850000,480000,850000.0,0,0,0,18,60
2023-04-01,RLX-SUBMARINER-BLK,Luxury Dive,55,850000,480000,850000.0,0,0,0,18,60
2023-05-01,RLX-SUBMARINER-BLK,Luxury Dive,47,850000,480000,850000.0,0,0,0,18,60
2023-06-01,RLX-SUBMARINER-BLK,Luxury Dive,48,850000,480000,850000.0,0,0,0,18,60
2023-07-01,RLX-SUBMARINER-BLK,Luxury Dive,58,850000,480000,850000.0,0,0,0,18,60
2023-08-01,RLX-SUBMARINER-BLK,Luxury Dive,104,850000,480000,850000.0,0,0,1,18,60
2023-09-01,RLX-SUBMARINER-BLK,Luxury Dive,49,850000,480000,850000.0,0,0,0,18,60
2023-10-01,RLX-SUBMARINER-BLK,Luxury Dive,55,850000,480000,850000.0,0,0,0,18,60
2023-11-01,RLX-SUBMARINER-BLK,Luxury Dive,156,850000,480000,850000.0,0,0,1,18,60
2023-12-01,RLX-SUBMARINER-BLK,Luxury Dive,156,850000,480000,850000.0,0,0,1,18,60
2024-01-01,RLX-SUBMARINER-BLK,Luxury Dive,111,850000,480000,850000.0,0,0,0,18,60
2024-02-01,RLX-SUBMARINER-BLK,Luxury Dive,96,850000,480000,850000.0,0,0,1,18,60
2024-03-01,RLX-SUBMARINER-BLK,Luxury Dive,48,850000,480000,850000.0,0,0,0,18,60
2024-04-01,RLX-SUBMARINER-BLK,Luxury Dive,54,850000,480000,850000.0,0,0,0,18,60
2024-05-01,RLX-SUBMARINER-BLK,Luxury Dive,53,850000,480000,850000.0,0,0,0,18,60
2024-06-01,RLX-SUBMARINER-BLK,Luxury Dive,60,850000,480000,850000.0,0,0,0,18,60
2024-07-01,RLX-SUBMARINER-BLK,Luxury Dive,55,850000,480000,850000.0,0,0,0,18,60
2024-08-01,RLX-SUBMARINER-BLK,Luxury Dive,103,850000,480000,850000.0,0,0,1,18,60
2024-09-01,RLX-SUBMARINER-BLK,Luxury Dive,68,850000,480000,850000.0,0,0,0,18,60
2024-10-01,RLX-SUBMARINER-BLK,Luxury Dive,61,850000,480000,850000.0,0,0,0,18,60
2024-11-01,RLX-SUBMARINER-BLK,Luxury Dive,168,850000,480000,850000.0,0,0,1,18,60
2024-12-01,RLX-SUBMARINER-BLK,Luxury Dive,161,850000,480000,850000.0,0,0,1,18,60
2025-01-01,RLX-SUBMARINER-BLK,Luxury Dive,116,850000,480000,850000.0,0,0,0,18,60
2025-02-01,RLX-SUBMARINER-BLK,Luxury Dive,116,850000,480000,850000.0,0,0,1,18,60
2025-03-01,RLX-SUBMARINER-BLK,Luxury Dive,60,850000,480000,850000.0,0,0,0,18,60
2025-04-01,RLX-SUBMARINER-BLK,Luxury Dive,68,850000,480000,850000.0,0,0,0,18,60
2025-05-01,RLX-SUBMARINER-BLK,Luxury Dive,64,850000,480000,850000.0,0,0,0,18,60
2025-06-01,RLX-SUBMARINER-BLK,Luxury Dive,67,850000,480000,850000.0,0,0,0,18,60
2025-07-01,RLX-SUBMARINER-BLK,Luxury Dive,66,850000,480000,850000.0,0,0,0,18,60
2025-08-01,RLX-SUBMARINER-BLK,Luxury Dive,129,850000,480000,850000.0,0,0,1,18,60
